"","Year","Species","Stream","N","CPUE","sd","se","ci"
"1",2012,"GIIN","Hot Springs Canyon",9,10.2371193846921,9.84067358058761,3.28022452686254,7.56421132334314
"2",2012,"MEFU","Hot Springs Canyon",9,17.3920757645257,14.9692883438741,4.98976278129137,11.5064136073457
"3",2012,"MEFU","Lower Blue River",12,3.12828523078713,4.53488708661297,1.30910914010028,2.88132979030104
"4",2012,"POOC","Fresno Canyon",1,2.34375,NA,NA,NA
"5",2012,"TICO","Hot Springs Canyon",9,30.8189706270135,36.1433074632573,12.0477691544191,27.7822054900756
"6",2012,"TICO","Lower Blue River",12,0.522041763341067,1.80840571555915,0.522041763341067,1.14900617406176
"7",2013,"GIIN","Hot Springs Canyon",9,20.0911535910145,22.5560733839773,7.51869112799244,17.3381328324734
"8",2013,"MEFU","Hot Springs Canyon",9,4.65844492126756,5.3265502033656,1.7755167344552,4.09434893177789
"9",2013,"MEFU","Lower Blue River",12,1.80073933696775,3.11993131909929,0.900646593467559,1.98230978670918
"10",2013,"POOC","Swamp Springs Canyon",4,30.9903846153846,22.3314280222917,11.1657140111458,35.5342853006256
"11",2013,"TICO","Hot Springs Canyon",9,12.4475424746687,15.8321436741343,5.27738122471145,12.1696629272334
"12",2013,"TICO","Lower Blue River",12,0.834492350486787,2.89076629914138,0.834492350486787,1.83670527963141
"13",2014,"GIIN","Hot Springs Canyon",9,39.0614140417594,31.6245646749975,10.5415215583325,24.3087923048586
"14",2014,"GIIN","Sheehy Spring",5,0.135276967930029,0.142508648531252,0.0637318050995012,0.17694785831393
"15",2014,"MEFU","Hot Springs Canyon",9,4.71113991194638,6.43561952574432,2.14520650858144,4.94685507965569
"16",2014,"MEFU","Lower Blue River",12,2.04115757766425,4.47108458128286,1.29069094328662,2.84079161243853
"17",2014,"POOC","Cottonwood Spring",1,0.560397856413037,NA,NA,NA
"18",2014,"TICO","Hot Springs Canyon",9,25.8645161749847,34.9627886386033,11.6542628795344,26.8747783929628
"19",2014,"TICO","Lower Blue River",12,0.419907393396483,1.06085893074963,0.306243594620257,0.674037607132306
"20",2015,"GIIN","Hot Springs Canyon",9,64.9708347431293,65.4555791167051,21.818526372235,50.3136120384351
"21",2015,"MEFU","Hot Springs Canyon",9,1.08079957766776,2.17591754171196,0.725305847237321,1.67255828301702
"22",2015,"MEFU","Lower Blue River",12,8.62964787726478,8.50977655643508,2.45656089280068,5.40685406991576
"23",2015,"POOC","Cienega Creek",2,0.482517814987447,0.38822466550843,0.27451629360489,3.48806022995958
"24",2015,"TICO","Hot Springs Canyon",9,13.1931560891837,24.1398042045636,8.04660140152121,18.5554961062475
